idrid	image_id	data_location	is_zarr	download_url	client_path	bia_ngff_id	bia_url	external_info
idr0173	15190881		True				https://www.ebi.ac.uk/biostudies/studies/S-BIAD2216	s3://uk1s3.embassy.ebi.ac.uk/bia-idr-integration/S-BIAD2216/microglia_zipped/HC/caudate/HC10/Patient_ImageStack_0000.ome.zarr/?anonymous=true
idr0170	15179941	Github	True	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0170-rose-mibitof	data/idr-metadata/idr0170-rose-mibitof/experimentA/../metadata/RPM-TMA-1_ROI01_multichannel.ome.xml		https://www.ebi.ac.uk/biostudies/studies/S-BIAD1961	/bia-idr/S-BIAD1961/experimentA/RPM-TMA/RPM-TMA-1_ROI01_multichannel.zarr/RPM-TMA-1_ROI01_multichannel.zarr
idr0168	15180114	BIA	True		bia-idr/S-BIAD1891/A375_6_ATP13A5_Z-stack_HF_01_2024-03-06_YunHao_23.31.23.zarr/OME/METADATA.ome.xml		https://www.ebi.ac.uk/biostudies/studies/S-BIAD1891	/bia-idr/S-BIAD1891/A375_6_ATP13A5_Z-stack_HF_01_2024-03-06_YunHao_23.31.23.zarr/0
idr0165	15160018	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0165-duinkerken-hyperspectraledx	uod/idr/filesets/idr0165-duinkerken-hyperspectraledx/Figure1_Multichannel.ome.tif			
idr0164	15170766	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0164-alzubi-hdbr	uod/idr/filesets/idr0164-alzubi-hdbr/ACE2-TMPRSS2/2021-06-22 16.36.34-2-20PCW-KIDNEY.ndpi			
idr0163	15159261	Github	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0163-greenwald-tnbc	uod/idr/metadata/idr0163-greenwald-tnbc/companions/TONIC_TMA10_R10C6.companion.ome		https://www.ebi.ac.uk/biostudies/studies/S-BIAD1288	
idr0161	15159234	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0161-yayon-thymus	uod/idr/filesets/idr0161-yayon-thymus/IBEX/IBEX_01.ome.tif		https://www.ebi.ac.uk/biostudies/studies/S-BIAD1257	
idr0160	15176242	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0160-lippincott-pyroptosis	uod/idr/filesets/idr0160-lippincott-pyroptosis/Images/r13c15f06p01-ch5sk1fk1fl1.tiff			
idr0159	15159985	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0159-strobl-insectlightsheet	uod/idr/filesets/idr0159-strobl-insectlightsheet/Strobl2014A/DS0001/B1-Strobl2014A-DS0001TP(TS)DR0001CH0001PL(ZS).ome.tif			
idr0158	15159140	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0158-radtke-lymphoma	uod/idr/filesets/idr0158-radtke-lymphoma/FL10/CellDIVE_IBEX_Immune_FL10.ims			
idr0157	15154257	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0157-peters-bryophytes	uod/idr/filesets/idr0157-peters-bryophytes/20230803-Globus/Asterella gracilis SWE/IMG_0005 Asterella gracilis (Mannia gracilis) voucher specimen.ome.tiff		https://www.ebi.ac.uk/biostudies/studies/S-BIAD824	
idr0156	15160042	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0156-szabo-tadcnd	uod/idr/filesets/idr0156-szabo-tadcnd/20220614-Globus/idr0xxx-szabo-tads_ExperimentA/ESC/20180329_RI510_ESC_12_11_SIR_2C_ALN_THR_10.ome.tiff			
idr0155	15148782	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0155-fu-alphasynuclein	uod/idr/filesets/idr0155-fu-alphasynuclein/microglia_oligomer/patient1/position_100.tif			
idr0154	15148767	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0154-queen-hdbr	uod/idr/filesets/idr0154-queen-hdbr/CS16_Well31_brightfield_resized.ome.tiff			
idr0151	15176282	BIA	False		bia-idr/S-BIAD582/01_wt_Dprotein555-TL/mps/5-1a_01_wt_Dprotein555-TL_004_mp.tif		https://www.ebi.ac.uk/biostudies/studies/S-BIAD582	
idr0150	15148237	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0150-friedman-cafs	uod/idr/filesets/idr0150-friedman-cafs/20230629-Globus/Ruth Scherz-Shouval/1-TNBC/Images/Patient_10_core_1.tiff			
idr0149	14872385	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0149-batty-sisterchromatids	uod/idr/filesets/idr0149-batty-sisterchromatids/20230605-ftp/experiment1/nipbl_dep_g2/nipbl_dep_g2_one_sister/211110_5325_WT_15h_release_nipbl_depleted_5h_hemi_zoom4_8_stain_scc1_cycb1_g2_rep1-05-49-50.tif_registered.tif			
idr0148	14788705	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0148-schumacher-kidneytem	uod/idr/filesets/idr0148-schumacher-kidneytem/20220927-Globus/0000-assay_1-light_microscopy/15301_week8_PAS.tiff			
idr0147	14788807	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0147-kuo-kidney3d	uod/idr/filesets/idr0147-kuo-kidney3d/20210921-Globus/Kidney_1/kidney1_D1_projections_height1.ome.tiff			
idr0146	14788623	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0146-dominguez-heartlightsheet	uod/idr/filesets/idr0146-dominguez-heartlightsheet/20221129-ftp/experimentA/embryo1/front/front.companion.ome			
idr0145	14259278	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0145-ho-replicationstress	uod/idr/filesets/idr0145-ho-replicationstress/20221023-ftp/MEC1_MMS/Mec1-Sml1-MMS-000/Meas_01(2014-09-04_12-04-03)/003012001.flex			
idr0144	14257949	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0144-baskay-jawbone	uod/idr/filesets/idr0144-baskay-jawbone/20221019-Globus/idr0000-baskay-3drec/experimentE/PROCESSED/imgs/E_01.ome.tiff			
idr0143	14888987	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0143-herbst-coculture	uod/idr/filesets/idr0143-herbst-coculture/20220822-ftp/Screen_180213_Plate1_Day3__2018-02-16T08_27_15-Measurement 1/Images/Index.idx.xml			
idr0141	14239639	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0141-sokol-skinmucosa	uod/idr/filesets/idr0141-sokol-skinmucosa/20220829-ftp/Sokol_08.ome.tiff			
idr0140	14240978	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0140-ho-stressresponse	uod/idr/filesets/idr0140-ho-stressresponse/20220818-ftp/HU_Screen/20150301_Sml1HU_000/Meas_01(2015-03-01_13-24-31)/011018001.flex			
idr0139	14793210	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0139-lawson-fascin	uod/idr/filesets/idr0139-lawson-fascin/box-20221015/kcl-upload/1093711385/1093711385.wpi			
idr0138	15157712	IDR	True	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0138-lohoff-seqfish	uod/idr/filesets/idr0138-lohoff-seqfish/20210917-Globus/ngff/TimEmbryos-102219/after_stripped_before_start/MMStack_Pos0.ome.zarr/1/0/0/0/3			
idr0137	14276280	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0137-peters-bryophytes	uod/idr/filesets/idr0137-peters-bryophytes/20220405-Globus/Lunularia cruciata/IMG_0005 Lunularia cruciata voucher specimen.ome.tiff		https://www.ebi.ac.uk/biostudies/studies/S-BIAD443	
idr0135	14000745	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0135-hodis-melanocytes	uod/idr/filesets/idr0135-hodis-melanocytes/20220301-ftp/2020-09-12/EH-15740-001.svs			
idr0134	14239606	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0134-peters-bryophytes	uod/idr/filesets/idr0134-peters-bryophytes/20220531-ftp/Diplophyllum albicans/IMG_0004 Diplophyllum albicans voucher specimen.ome.tiff		https://www.ebi.ac.uk/biostudies/studies/S-BIAD188	
idr0133	14001082	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0133-dahlin-cellpainting	uod/idr/filesets/idr0133-dahlin-cellpainting/20220228-ftp/BR00109990/r02c18f01p01-ch3sk1fk1fl1.tiff			
idr0130	13999847	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0130-olszewski-herpes	uod/idr/filesets/idr0130-olszewski-herpes/Herpes-20220113-Globus/HSV/1-prePlates/Data_UZH/preZ/190718-PreZ-Valid-4x_Plate_13944/190718-PreZ-Valid-4x.HTD			
idr0129	13994087	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0129-georgi-rhinovirus	uod/idr/filesets/idr0129-georgi-rhinovirus/Rhinovirus-20220113-Globus/RV/1-prePlates/Data_UZH/preScreen/180222-6-44-RV-preScreen_Plate_11620/180222-6-44-RV-preScreen.HTD			
idr0128	13980639	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0128-georgi-influenza	uod/idr/filesets/idr0128-georgi-influenza/Influenza-20220113-Globus/IAV/1-prePlates/Data_UZH/preScreen/180419-6-52-IAV-pre_Plate_11939/180419-6-52-IAV-pre.HTD			
idr0127	13966090	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0127-baer-phenotypicheterogeneity	uod/idr/filesets/idr0127-baer-phenotypicheterogeneity/20220111-Globus/1_Patient_TL/CI1140_patient_TL.ome.tiff			
idr0124	13965772	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0124-esteban-heartmorphogenesis	uod/idr/filesets/idr0124-esteban-heartmorphogenesis/20211023-ftp/Collection/E10/E10.lif			
idr0123	13965882	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0123-mota-mifish	uod/idr/filesets/idr0123-mota-mifish/20211026-ftp/Dataset1.companion.ome			
idr0120	14212522	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0120-german-immunologicalsynapse	uod/idr/filesets/idr0120-german-immunologicalsynapse/20220613-ometiff/Yolla jurkat icam okt3 plate 1 27062018__2018-06-27T19_12_37-Measurement 1b/plate.companion.ome			
idr0119	14789987	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0119-gross-cellresponse	uod/idr/filesets/idr0119-gross-cellresponse/20221121-Globus/2101001.companion.ome			
idr0118	13461591	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0118-keenan-flylightsheet	uod/idr/filesets/idr0118-keenan-flylightsheet/20210903-ftp/byn_sample1_Raw_Images.tif			
idr0117	13441308	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0117-croce-marimba	uod/idr/filesets/idr0117-croce-marimba/20210812-ftp/SkeT 16c.tif			
idr0116	13457655	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0116-deboer-npod	uod/idr/filesets/idr0116-deboer-npod/20210805-Globus/From Tiff source/6151-370a.ome.tiff		https://www.ebi.ac.uk/biostudies/studies/S-BIAD217	
idr0115	13966271	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0115-otsuka-nucleoporins	uod/idr/filesets/idr0115-otsuka-nucleoporins/20210617-ftp/160701-Nup107-cell-1-t6.tif			
idr0114	13462398	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0114-lindsay-hdbr	uod/idr/filesets/idr0114-lindsay-hdbr/20210827-ome-tiffs-ftp/HDBR_converted_files_1/13168,6,ribs,10pcw,15_ALX4.ome.tiff			
idr0113	13425218	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0113-bottes-opcclones	uod/idr/filesets/idr0113-bottes-opcclones/20210607-ftp/bf3092/Image5D_bf3092_SPOT10.tif			
idr0112	13441326	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0112-verzat-motorneurons	uod/idr/filesets/idr0112-verzat-motorneurons/20210526-ftp/plate1.companion.ome			
idr0111	13416830	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0111-lee-cellmigration	uod/idr/filesets/idr0111-lee-cellmigration/20210518-Globus/experimentA/2019-07-29/2019-07-29_10Amutants_Migration2019-07-29_10Amutants_3minFrames_XY0001.ome.tiff			
idr0110	13422206	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0110-rodermund-xistrna	uod/idr/filesets/idr0110-rodermund-xistrna/20210404-ftp/20200201_Pulse_Chase_turnover_on_chromatin_CIZ1KO_NPC_220min_01_FUS.dv			
idr0109	12922361	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0109-zaritsky-melanoma	uod/idr/filesets/idr0109-zaritsky-melanoma/20210319-ftp/140605_A375.nd2			
idr0108	13425351	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0108-sabinina-nuclearporecomplex	uod/idr/filesets/idr0108-sabinina-nuclearporecomplex/20210426-Globus/SNAP-NUP107/01_638i100_UVi50_Boosti150mW_x20_2C-A647-CF680_1_MMStack_Pos0.ome.tif			
idr0107	13417006	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0107-morgan-hei10	uod/idr/filesets/idr0107-morgan-hei10/20210222-ftp/hei10 +-/hei10+-_2.12.19_plant13_slide1_image1/Composite.tif			
idr0106	12689244	Github	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0106-kubota-lunglightsheet	data/idr-metadata/idr0106-kubota-lunglightsheet/experimentA/companions/Mosaic_Image.companion.ome			
idr0103	12074262	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0103-coomer-hiv1fusion	uod/idr/filesets/idr0103-coomer-hiv1fusion/20201214-ftp/R1-C1--C2-100mM2DG_100ug_Chol_JRFL_32bit.tif.ome.tif			
idr0101	13457536	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0101-payne-insitugenomeseq	uod/idr/filesets/idr0101-payne-insitugenomeseq/20210421-processed/pgp1/fov001/cell002/cell002.pattern			
idr0100	11576514	Github	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0100-capar-myelin	uod/idr/metadata/idr0100-capar-myelin/pattern/Sample1.pattern		https://www.ebi.ac.uk/biostudies/studies/S-BIAD493	
idr0099	12557113	Github	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0099-jain-beetlelightsheet	data/idr-metadata/idr0099-jain-beetlelightsheet/experimentA/20210208-patterns/9-3-15_Histone-eGFP/TP_Chgreen_Ill0_Ang0,1,2.pattern			
idr0098	12533720	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0098-huang-octmos	uod/idr/filesets/idr0098-huang-octmos/20201014-ftp/ExperimentB/T0254.ome.tif			
idr0097	12529681	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0097-reicher-proteintag	uod/idr/filesets/idr0097-reicher-proteintag/20200929-ftp/ExperimentA/Plate1/Index.idx.xml			
idr0096	13461616	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0096-tratwal-marrowquant	uod/idr/filesets/idr0096-tratwal-marrowquant/20210609-ftp-ome-tiffs/m4 pelvic (20x #2).ome.tiff			
idr0095	11511035	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0095-ali-asymmetry	uod/idr/filesets/idr0095-ali-asymmetry/20200831-ftp/AO1TO1-Trial1/1X.nd2			
idr0094	10503601	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0094-ellinger-sarscov2	uod/idr/filesets/idr0094-ellinger-sarscov2/20200802-ftp/SARS-CoV2[2454]/ESP0025769[6377]/2020-03-31T111336+0200[6690]/MeasurementIndex.ColumbusIDX.xml		https://www.ebi.ac.uk/biostudies/studies/S-BIAD29	
idr0093	12559941	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0093-mueller-perturbation	uod/idr/filesets/idr0093-mueller-perturbation/20200910-rsync/001/001.wpi			
idr0092	10340801	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0092-ostrop-organoid	uod/idr/filesets/idr0092-ostrop-organoid/20200824-ometiff/Plate1.companion.ome			
idr0091	10647409	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0091-julou-lacinduction	uod/idr/filesets/idr0091-julou-lacinduction/20200622-ftp/Julou_2020_lacInduction_RawImages/20151204/20151204_switch6h_rawstacks/20151204_switch6h_1_MMStack_Pos0_metadata.txt			
idr0090	12539701	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD882.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD882/a5a2714b-bfbf-4251-95ac-5319fda4bf69/a5a2714b-bfbf-4251-95ac-5319fda4bf69.zarr/.zattrs	S-BIAD882		
idr0089	10502514	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0089-fischl-coldtemp	uod/idr/filesets/idr0089-fischl-coldtemp/20200625-ftp/AC16_Rep2_18d24h37d2h_H3K4M488_H3K27M594_01_SIR_THR_ALN.tif			
idr0088	11408052	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0088-cox-phenomicprofiling	uod/idr/filesets/idr0088-cox-phenomicprofiling/20200722-awss3/ds_hcs_02/PhenoPrintScreen/raw_images_for_IDR/p171221PPS136/PpsL05A549Gm130Sqstm1_PPS136_20171223_030022/1013608208/1013608208.wpi			
idr0087	9844380	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0087-paci-nuclearimport	uod/idr/filesets/idr0087-paci-nuclearimport/20200619-ftp/10_I53-47_18NLS/exp_A01_G002_0001.oir			
idr0086	9845029	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0086-miron-micrographs	uod/idr/filesets/idr0086-miron-micrographs/20200610-ftp/experimentA/C127-G1/30min-BrUTP/201804-27_G1_C127_30min-BrUTP-488_DAPI_514_01_FUS_SIR_ALN_THR.tif			
idr0085	9846157	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0085-walsh-mfhrem	uod/idr/filesets/idr0085-walsh-mfhrem/20200529-ftp/Brain_two_channel_CMDiI_HCSCellMask_pxl_xy_4.47_pxl_z_2.58.tif		https://www.ebi.ac.uk/biostudies/studies/S-BIAD500	
idr0084	9842129	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0084-oudelaar-alphaglobin	uod/idr/filesets/idr0084-oudelaar-alphaglobin/20200428-ftp/expt10/2017-07-24-Brain-01_01_R3D.dv			
idr0083	9822151	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0083-lamers-sarscov2	uod/idr/filesets/idr0083-lamers-sarscov2/20200421-ftp/12448_J1HR_Mesh001.tif			
idr0082	9846357	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0082-pennycuick-lesions	uod/idr/filesets/idr0082-pennycuick-lesions/20200517-ftp/S11_HandE.ndpi			
