Date	Data release	Code version	Sets	Wells	Experiments	Images	Planes	Size (TB)	Files (Million)	DB Size (GB)	Studies
2016-04-27	demo1	-	2500	789648	358260	1336889	28915921	36.97	8.21		10
2016-05-26	demo2	0.0.7==0.2.0+0.2.1	3183	928192	814321	2280796	31038708	38.36	11.1	89	16
2016-06-30	demo2+	0.2.1	3420	1019980		2373868	34629205	40.73	13.92		16
2016-11-01	demo3rc	0.3.0	3412	1019980	987933	2373901	33850654	40.93	13.76		18
2016-11-01	demo3	0.3.0	3425	1022136	819977	2466530	34943226	41.08	13.95	131	18
2016-12-16	demo31	0.3.1	3425	1022136	990089	2466530	34943226	41.08	13.95	131	20
2017-01-18	demo32	0.3.2	3618	1034260	1002213	2538319	35732772	41.52	14.08		24
2017-02-09	demo33	0.3.3	3733	1034260	1002328	2538777	35734146	41.53	14.08	149	24
2017-03-16	demo34	0.3.4	3758	1042236	1010304	2673801	36314562	42.17	14.52	165	27
2017-04-17	demo35	0.3.5	3776	1042236	1010322	2674028	37273710	42.66	14.54	154	28
2017-04-26	prod36	0.3.6	3776	1042236	1010322	2674028	37273710	42.66	14.54	154	28
2017-05-10	prod37	0.3.7	3805	1042920	1011006	2680184	37298334	42.77	14.61	155	29
2017-08-15	prod42	0.4.2	3805	1042920	1011006	2680184	37298334	42.77	14.61	155	29
2017-09-22	prod43	0.4.3	3799	1035240	1003351	2611160	37331471	45.11	14.15	157	30
2017-12-04	prod44	0.4.4	3819	1042920	1011031	2680280	37677071	45.36	14.61	157	31
2018-02-12	prod45	0.4.5	3932	1070472	1038583	2827112	38397311	45.72	15.12	157	32
2018-03-12	prod46	0.4.6	3932	1070472	1038583	2827112	38397311	45.72	15.12	157	32
2018-04-12	prod47	0.4.7	4286	1070472	1038583	2890671	42240084	46.95	15.4	157	35
2018-05-10	prod50	0.5.0	4286	1070472	1038583	2890671	42240084	46.95	15.4	157	35
2018-08-29	prod51	0.5.1	4288	1069356	1038583	2847146	44175081	48.21	15.4	161	36
2018-11-01	prod52	0.5.2	5288	1069356	1037984	3345018	45668697	61.65	15.8	189	37
2018-11-29	prod60	0.6.0	5295	1069356	1037991	3345039	47730189	62.3	15.8	190	39
2018-12-20	prod61	0.6.1	6295	1069356	1038991	3832474	49192494	76.3	16.3	214	39
2019-01-16	prod62	0.6.2	6309	1069356	1039000	3833490	49271173	77.49	16.3	216	41
2019-02-07	prod63	0.6.3	7341	1069356	1040032	4329985	50777538	90.68	16.84	246	42
2019-02-26	prod64	0.6.4	7410	1072659	1043335	4359712	50897850	90.93	17.00	247	43
2019-03-19	prod65	0.6.5	7411	1072659	1043336	4359715	50897850	90.93	17.00	248	44
2019-04-15	prod66	0.6.6	8411	1072659	1044399	4848668	53137295	104.07	17.02	275	45
2019-06-17	prod67	0.6.7	9479	1072659	1044399	5335326	54605425	116.83	17.99	300	46
2019-07-03	prod68	0.6.8	9510	1075635	1048380	5341278	55676785	125.9	19.08	306	47
2019-09-17	prod70	0.7.0	10194	1140531	1113284	7677551	58031858	127.66	19.30	356	49
2019-11-06	prod71	0.7.1	11318	1188147	1161900	8356200	60071981	142.36	20.36	393	50
2019-12-10	prod72	0.7.2	11534	1188147	1161986	8370659	61394055	145.97	21.79	398	52
2020-01-16	prod73	0.7.3	12544	1188147		8862811	62872383	158.30338343134298	21.780547	423	53
2020-03-03	prod80	0.8.0	12569	1195544		9083954	63756762	158.91306092503	22.181109	431	55
2020-04-27	prod81	0.8.1	12579	1196615		9084406	63865664	159.04156184442	22.182035	366	57
2020-05-19	prod82	0.8.2	12617	1211207		9098998	63894848	159.28699533981302	22.225895	367	58
2020-06-15	prod83	0.8.3	12617	1211207		9098998	63894848	159.28699533981302	22.225895	367	58
2020-06-30	prod84	0.8.4	12935	1211207		9104113	64994054	166.051140219111	22.239085	358	61
2020-07-22	prod85	0.8.5	13027	1211207		9106682	65319327	166.32930891414	22.2468	359	64
2020-08-12	prod86	0.8.6	13031	1211207		9106691	65339012	166.57472994900098	22.246952	385	66
2020-09-03	prod87	0.8.7	14042	1211399		9601432	66888483	180.10744703932903	22.742929	412.649968287	68
2020-09-29	prod88	0.8.8	14236	1270211		9757840	69021328	185.13093241431503	23.357416	422.763360927	71
2020-10-06	prod89	0.8.9	14424	1286147		9903464	70616509	186.92806861126402	24.170604	433.145737887	73
2020-11-19	prod90	0.9.0	15677	1746563		10646676	72846145	192.92555930017602	26.418725	472.513680031	75
2020-12-10	prod91	0.9.1	15696	1753475		10708889	73157773	196.00307508509002	26.792054	476.26	77
2021-01-27	prod92	0.9.2	17211	1753475		11423912	76708906	215.07339019756503	28.162387	520.03	79
2021-02-11	prod93	0.9.3	17235	1754195		11434381	79886738	217.9785752377	28.190256	537.61	81
2021-03-02	prod94	0.9.4	17262	1755688		11451794	84877407	249.60981843401507	28.227351	539.813286559	83
2021-03-17	prod95	0.9.5	17346	1787560		11685300	85812630	259.98367386684305	29.411316	549.64	85
2021-04-29	prod96	0.9.6	17445	1793693		11816922	86361435	260.66417174797004	29.564944	553.95	87
2021-05-31	prod97	0.9.7	17466	1793693		11817796	86892269	266.539897252345	29.565929	554.51	88
2021-06-30	prod98	0.9.8	18489	1793693		12313512	88620001	279.869801734009	30.066415	581.5	90
2021-08-03	prod99	0.9.9	18513	1793693		12319306	95017392	280.876962901964	30.08391	588.76	92
2021-09-01	prod100	0.10.0	18557	1795095		12335276	98870307	282.6979774026	30.36849	541.86	95
2021-09-21	prod101	0.10.1	18643	1795095		12335780	101779147	288.747233009663	30.398726	543.88	97
2021-11-10	prod102	0.10.2	18657	1795095		12336031	102535840	291.461136232095	30.399584	544.13	99
2021-12-07	prod103	0.10.3	18878	1795095		12337028	103381950	292.64439932012	30.402277	544.26	101
2022-01-17	prod104	0.10.4	19879	1795095		12839978	105099420	307.09841509168893	30.906002	574.40	102
2022-02-28	prod105	0.10.5	19891	1795095		12840301	105212625	307.581956707511	30.908023	577.224528543	104
2022-05-05	prod106	0.10.6	19995	1828887		12874710	106462728	308.421418116607	31.011052	579.090158239	109
2022-07-05	prod107	0.10.7	20079	1857867		13082709	107502723	319.155132865449	32.051303	590.240281247	110
2022-07-25	prod108	0.10.8	20086	1858535		13108079	108358263	320.288450979338	32.102065	591.651451551	111
2022-08-25	prod109	0.10.9	20182	1858535		13113214	109031541	335.244769283323	32.117471	592.08	112
2022-09-29	prod110	0.11.0	20184	1858535		13113224	109031551	335.25245153854803	32.117502	592.308646559	113
2022-10-31	prod111	0.11.1	20198	1863085		13131424	109067951	335.354812835978	32.153914	600.25	114
2022-12-08	prod112	0.11.2	20200	1863085		13131492	109068155	335.357682150152	32.154119	600.45	115
2023-01-17	prod113	0.11.3	21213	1867631		13662110	110687834	352.745128912615	32.703572	631.443993247	117
2023-02-06	prod114	0.11.4	21231	1867631		13666719	112351811	353.002809401885	32.71232	632.68	118
2023-04-05	prod115	0.11.5	21241	1867631		13666786	112351932	353.24066633370103	32.712522	632.94	119
2023-06-19	prod116	0.11.6	21244	1867631		13666889	112579612	361.493111168089	32.712832	635.26	120
2023-07-17	prod117	0.11.7	21278	1868391		13669915	114328594	364.65287765647497	34.464906	446.54	121
2023-08-17	prod118	0.11.8	21390	1892574		13752698	115179939	365.933575229006	34.950326	449.37	123
2023-10-09	prod119	0.11.9	21617	1978974		14012392	118390729	384.893134429384	38.160129	468.92	125
